Route Name,Disaster/Risk Type,Severity Level,Primary Risk Factor,Month/Season of High Risk,Historical Occurrence Count,Safety Recommendation,
A26 Kandy-Mahiyangana (Bend 1),Rock Fall,High,Steep Gradient,Oct-Dec (Monsoon),12,Avoid during heavy rain; watch for falling debris,
A26 Kandy-Mahiyangana (Bend 2),Accident Blackspot,Medium,Sharp Bend,Year-round,45,Use lower gears; sound horn at blind corners,
A26 Kandy-Mahiyangana (Bend 3),Rock Fall,High,Unstable Topsoil,Oct-Dec (Monsoon),14,Do not park near rock face; continuous transit,
A26 Kandy-Mahiyangana (Bend 4),Accident Blackspot,Medium,Sharp Bend,Year-round,38,Maintain lane discipline; yield to heavy vehicles,
A26 Kandy-Mahiyangana (Bend 5),Landslide,High,Colluvium Soil,Oct-Dec (Monsoon),8,Check NBRO warnings before travel,
A26 Kandy-Mahiyangana (Bend 6),Heavy Mist,Low,Poor Visibility,Nov-Feb,60,Use fog lights; reduce speed to 20km/h,
A26 Kandy-Mahiyangana (Bend 7),Accident Blackspot,High,Steep Gradient,Year-round,55,Engine braking essential; check brake fluid,
A26 Kandy-Mahiyangana (Bend 8),Rock Fall,Medium,Hanging Boulders,Oct-Dec (Monsoon),11,Avoid travel during torrential downpours,
A26 Kandy-Mahiyangana (Bend 9),Heavy Mist,Low,Poor Visibility,Nov-Feb,70,Do not overtake; maintain safe following distance,
A26 Kandy-Mahiyangana (Bend 10),Accident Blackspot,High,Sharp Bend,Year-round,62,Sound horn; anticipate oncoming buses,
A26 Kandy-Mahiyangana (Bend 11),Earthslip,Medium,Saturated Slope,Oct-Dec (Monsoon),9,Observe road surface for tension cracks,
A26 Kandy-Mahiyangana (Bend 12),Rock Fall,High,Exposed Bedrock,Oct-Dec (Monsoon),15,Quick transit; obey temporary police blocks,
A26 Kandy-Mahiyangana (Bend 13),Accident Blackspot,Medium,Sharp Bend,Year-round,41,Strict adherence to speed limits,
A26 Kandy-Mahiyangana (Bend 14),Rock Fall,High,Dip Slope Failure,Oct-Dec (Monsoon),22,Extremely high risk; observe flagmen signals,
