Route Name,Primary Risk Factor,Historical Frequency,Severity Level,Specific Risk Locations,Monsoon Impact,Typical Impact on Road,Advisory Authority,Recommended Vehicle Safety Feature
AA001 Colombo - Kandy,Landslide,Seasonal-Monsoon,High,Kadugannawa (97-100 mileposts),South-West Monsoon,Complete closure,NBRO,High Ground Clearance
AA001 Colombo - Kandy,Rockfall,Rare,High,Kadugannawa (98/5 milepost),South-West Monsoon,One-way traffic,NBRO,Electronic Stability Control
AA001 Colombo - Kandy,Earth-slip,Annual,Moderate,Ganetenne Sector,South-West Monsoon,One-way traffic,NBRO,Traction Control
AA001 Colombo - Kandy,Flash Floods,Seasonal-Monsoon,Moderate,Warakapola - Kegalle,South-West Monsoon,Slippery surface,DMC,High Wading Depth
AA001 Colombo - Kandy,Flash Floods,Annual,Moderate,Mawanella Town,South-West Monsoon,One-way traffic,DMC,High Ground Clearance
AA001 Colombo - Kandy,Earth-slip,Seasonal-Monsoon,Moderate,Pilimathalawa Sector,South-West Monsoon,Slippery surface,NBRO,Traction Control
AA001 Colombo - Kandy,Landslide,Seasonal-Monsoon,High,Kegalle-Mawanella Hills,South-West Monsoon,Complete closure,NBRO,All-Wheel Drive
AA001 Colombo - Kandy,Flash Floods,Seasonal-Monsoon,Moderate,Pasyala - Warakapola,South-West Monsoon,One-way traffic,DMC,High Ground Clearance
AA001 Colombo - Kandy,Rockfall,Rare,High,Kadugannawa Tunnel Entrance,Both,Road Blockage,RDA/NBRO,Reinforced Chassis
AA001 Colombo - Kandy,Flash Floods,Seasonal-Monsoon,Moderate,Yatinuwara Sector,South-West Monsoon,Slippery surface,DMC,Traction Control
AA001 Colombo - Kandy,Landslide,Rare,High,Ambepussa Hills,South-West Monsoon,Road Blockage,NBRO,High Ground Clearance
AA001 Colombo - Kandy,Earth-slip,Seasonal-Monsoon,Moderate,Kadugannawa Bypass,South-West Monsoon,One-way traffic,NBRO,Traction Control
AA001 Colombo - Kandy,Earth-slip,Seasonal-Monsoon,Moderate,Peradeniya - Gampola Belt,Both,Slippery surface,NBRO,Traction Control
AA001 Colombo - Kandy,Rockfall,Rare,Moderate,Utuwankanda Area,South-West Monsoon,Debris on road,NBRO,Reinforced Chassis
AA001 Colombo - Kandy,Flash Floods,Annual,Moderate,Galigamuwa Junction,South-West Monsoon,Slippery surface,DMC,Traction Control
AA023 Wellawaya - Ella,Rockfall,Annual,High,12th Kilometer Post,North-East Monsoon,Road Blockage,NBRO/DMC,Reinforced Roof
AA023 Wellawaya - Ella,Earth-slip,Seasonal-Monsoon,Moderate,Ravana Falls Area,Both,Slippery surface,DMC,Traction Control
AA023 Wellawaya - Ella,Rockfall,Seasonal-Monsoon,High,Ella Rock Base,North-East Monsoon,Complete closure,NBRO,High Ground Clearance
AA023 Wellawaya - Ella,Mudslide,Seasonal-Monsoon,Moderate,Wellawaya - Telulla,North-East Monsoon,Slippery surface,DMC,Mud-Terrain Tires
AA023 Wellawaya - Ella,Flash Floods,Seasonal-Monsoon,High,Kuda Oya - Wellawaya,Both,Submerged road,DMC,Snorkel / 4WD
AA023 Wellawaya - Ella,Rockfall,Seasonal-Monsoon,High,Little Adam's Peak Base,Both,Debris on road,NBRO,All-Terrain Tires
AA023 Wellawaya - Ella,Landslide,Seasonal-Monsoon,High,Ella Town Outskirts,North-East Monsoon,Complete closure,NBRO,All-Wheel Drive
AA023 Wellawaya - Ella,Rockfall,Seasonal-Monsoon,Moderate,Ella - Wellawaya 15km,North-East Monsoon,Debris on road,NBRO,Reinforced Roof
AA023 Wellawaya - Ella,Mudslide,Seasonal-Monsoon,Moderate,Ella Gap Southern Face,North-East Monsoon,Slippery surface,DMC,Mud-Terrain Tires
AA023 Wellawaya - Ella,Rockfall,Seasonal-Monsoon,High,Ravana Cave Access Road,Both,Complete closure,NBRO,High Viz Lights
AA023 Wellawaya - Ella,Flash Floods,Seasonal-Monsoon,Moderate,Buduruwagala Road,North-East Monsoon,Slippery surface,DMC,Traction Control
AA023 Wellawaya - Ella,Mudslide,Seasonal-Monsoon,Moderate,Wellawaya - Tanamalwila,Both,Slippery surface,DMC,Mud-Terrain Tires
AA023 Wellawaya - Ella,Rockfall,Seasonal-Monsoon,High,Ella Rock Trailhead,Both,Debris on road,NBRO,All-Terrain Tires
AA023 Wellawaya - Ella,Earth-slip,Annual,Moderate,Kumbalwela Junction,Both,Slippery surface,NBRO,Traction Control
AA023 Wellawaya - Ella,Rockfall,Seasonal-Monsoon,High,Ellewala Waterfall Track,Both,Road Blockage,NBRO,High Ground Clearance
AA005 Peradeniya - Badulla,Landslide,Annual,High,Ella-Kumbalwela Segment,North-East Monsoon,Complete closure,NBRO,All-Wheel Drive
AA005 Peradeniya - Badulla,Severe Mist,Daily-Evening,Moderate,Ramboda Pass,Both,Reduced visibility,Met Dept,Fog Lights
