Place_ID,Legacy_Place_ID,Name,Latitude,Longitude,District,Tags,Duration_Minutes,Duration_Basis,Rating,Source_Name,Source_URL,Source_License,Verification_Status,Verification_Note
wikidata-Q15717689,1,Temple of the Sacred Tooth Relic,7.2936111,80.6413889,Kandy,History|Culture|Religion,120,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q15717689,CC0 1.0,source_trace_verified,"Named Kandy Buddhist temple and tourist attraction; identity and coordinate are source-traced."
wikidata-Q3119056,2,"Royal Botanic Gardens, Peradeniya",7.2700000,80.6000000,Kandy,Nature,150,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q3119056,CC0 1.0,source_trace_verified,"Named botanical garden in Peradeniya; identity and coordinate are source-traced."
wikidata-Q5966035,3,Kandy Lake,7.2917389,80.6396389,Kandy,Nature|City,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q5966035,CC0 1.0,source_trace_verified,"Named reservoir located in Kandy; identity and coordinate are source-traced."
wikidata-Q7876953,4,Udawatta Kele Sanctuary,7.2994444,80.6394444,Kandy,Nature|Wildlife,120,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q7876953,CC0 1.0,source_trace_verified,"Named protected area in Kandy; identity and coordinate are source-traced."
osm-node-3276843504,5,Ceylon Tea Museum,7.2686376,80.6326564,Kandy,History|Culture,90,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,ODbL 1.0,source_trace_verified,"Named tourism=museum feature with website and Wikidata tags in the staged source trace."
osm-node-4157023134,7,Arthur's Seat,7.2890117,80.6399363,Kandy,Nature|City,45,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,ODbL 1.0,source_trace_verified,"Named tourism=viewpoint feature in the staged Kandy source trace."
wikidata-Q20859170,8,British Garrison Cemetery,7.2928056,80.6431944,Kandy,History,45,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q20859170,CC0 1.0,source_trace_verified,"Named historic cemetery located in Kandy; identity and coordinate are source-traced."
wikidata-Q3217592,9,Lankatilaka Vihara,7.2300000,80.5600000,Kandy,History|Culture|Religion,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q3217592,CC0 1.0,source_trace_verified,"Named Buddhist temple in Kandy District; identity and coordinate are source-traced."
wikidata-Q25637940,10,Gadaladeniya Vihara,7.2573056,80.5560833,Kandy,History|Culture|Religion,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q25637940,CC0 1.0,source_trace_verified,"Named ancient Buddhist temple; passed the existing reproducible manual Kandy source audit."
wikidata-Q5370021,11,Embekka Devalaya,7.2180556,80.5677778,Kandy,History|Culture|Religion,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q5370021,CC0 1.0,source_trace_verified,"Named Kandy District temple; passed the existing reproducible manual Kandy source audit."
wikidata-Q28015701,16,Alawathugoda Saman Devalaya,7.4100000,80.6044444,Kandy,History|Culture|Religion,45,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q28015701,CC0 1.0,source_trace_verified,"Named temple in Kandy District; identity and coordinate are source-traced."
osm-node-11017570005,17,Giragama Walawwa,7.2942985,80.6359662,Kandy,History|Culture,45,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,ODbL 1.0,source_trace_verified,"Named tourism=attraction feature in the staged Kandy source trace."
wikidata-Q3533580,55,National Museum of Kandy,7.2932600,80.6421400,Kandy,History|Culture,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q3533580,CC0 1.0,source_trace_verified,"Named national museum located in Kandy; identity and coordinate are source-traced."
wikidata-Q20010653,63,"National Railway Museum, Kadugannawa",7.2576100,80.5209000,Kandy,History|Culture,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q20010653,CC0 1.0,source_trace_verified,"Named railway museum; retained once after excluding its duplicate OSM source alias."
osm-node-11096423467,64,Dawson Tower,7.2567324,80.5179264,Kandy,History|City,30,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,ODbL 1.0,source_trace_verified,"Named historic=monument feature in the staged Kandy source trace."
osm-node-11583843280,72,Jodu Ella Water Falls,7.4004888,80.7757620,Kandy,Nature|Adventure,60,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,ODbL 1.0,source_trace_verified,"Named tourism=attraction waterfall feature in the staged Kandy source trace."
osm-node-5063761704,73,Huluganga Ella Waterfall,7.4010665,80.7421521,Kandy,Nature|Adventure,45,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,ODbL 1.0,source_trace_verified,"Named tourism=attraction waterfall feature in the staged Kandy source trace."
osm-node-4440038982,82,Kadiyallana Falls,7.0119444,80.5869842,Kandy,Nature|Adventure,45,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,ODbL 1.0,source_trace_verified,"Named tourism=attraction waterfall feature in the staged Kandy source trace."
osm-node-4566489017,81,Galboda Falls,6.9754081,80.5428804,Kandy,Nature|Adventure,180,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,ODbL 1.0,source_trace_verified,"Named tourism=attraction waterfall feature; verified coordinate replaces the prototype coordinate at runtime."
osm-node-5299675266,12,Ambuluwawa,7.1610736,80.5473402,Kandy,Nature|Adventure|Culture,150,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,ODbL 1.0,source_trace_verified,"Named natural=peak feature in the staged Kandy source trace; duration remains a research estimate."
wikidata-Q16308678,,Matale Muthumariyamman Temple,7.4773000,80.6239000,Matale,Culture|Religion,60,bounded_research_estimate_v1,,Wikidata,https://www.wikidata.org/wiki/Q16308678,CC0 1.0,source_trace_verified,"Staged Wikidata identity and coordinate; Matale location corroborated by the Central Province Tourism Department. Duration is a bounded 60-minute research estimate for a focused religious-cultural visit."
wikidata-Q19700397,,Aluvihare Rock Temple,7.4971944,80.6218611,Matale,History|Culture|Religion,90,bounded_research_estimate_v1,,Wikidata,https://www.wikidata.org/wiki/Q19700397,CC0 1.0,source_trace_verified,"Staged Wikidata identity and coordinate; Matale location and visitor relevance corroborated by Sri Lanka Tourism. Duration is a bounded 90-minute research estimate for a multi-part heritage temple."
wikidata-Q25104534,,Sera Ella Falls,7.5883040,80.7549405,Matale,Nature|Adventure,90,bounded_research_estimate_v1,,Wikidata,https://www.wikidata.org/wiki/Q25104534,CC0 1.0,source_trace_verified,"Staged Wikidata identity and coordinate; Matale administrative placement corroborated by Central Province tourism research. Duration is a bounded 90-minute research estimate including local approach."
wikidata-Q272153,,Sigiriya,7.9569444,80.7597222,Matale,History|Culture|Adventure,180,bounded_research_estimate_v1,,Wikidata,https://www.wikidata.org/wiki/Q272153,CC0 1.0,source_trace_verified,"Staged Wikidata identity and coordinate; Matale District placement corroborated by the Central Province Tourism Department. Duration is a bounded 180-minute research estimate for ascent and heritage viewing."
wikidata-Q45690,,Dambulla Cave Temple,7.8565630,80.6483403,Matale,History|Culture|Religion,120,bounded_research_estimate_v1,,Wikidata,https://www.wikidata.org/wiki/Q45690,CC0 1.0,source_trace_verified,"Wikidata identifies the temple, coordinate and Matale District; Sri Lanka and Central Province tourism sources corroborate visitor relevance. Duration is a bounded 120-minute research estimate."
wikidata-Q65949703,,Pidurangala Rock,7.9656168,80.7618517,Matale,Nature|Adventure|Religion,120,bounded_research_estimate_v1,,Wikidata,https://www.wikidata.org/wiki/Q65949703,CC0 1.0,source_trace_verified,"Wikidata identifies the rock and coordinate; the Central Province Tourism Department lists it in the Matale destination catalogue. Duration is a bounded 120-minute research estimate for ascent and descent."
wikidata-Q3335386,,Nalanda Gedige,7.6697222,80.6455556,Matale,History|Culture|Religion,90,bounded_research_estimate_v1,,Wikidata,https://www.wikidata.org/wiki/Q3335386,CC0 1.0,source_trace_verified,"Wikidata identifies the temple, coordinate and Matale District; Sri Lanka Tourism independently corroborates the district. Duration is a bounded 90-minute research estimate."
wikidata-Q18915186,,Sembuwatta Lake,7.4333333,80.7166667,Matale,Nature|Adventure,120,bounded_research_estimate_v1,,Wikidata,https://www.wikidata.org/wiki/Q18915186,CC0 1.0,source_trace_verified,"Wikidata identifies the reservoir and coordinate; Central Province tourism research places Sembuwatta in the Matale administrative attractions group. Duration is a bounded 120-minute research estimate."
osm-way-191390663,,Sigiriya Museum,7.9569800,80.7518000,Matale,History|Culture,90,bounded_research_estimate_v1,,OpenStreetMap,https://www.openstreetmap.org/way/191390663,ODbL 1.0,source_trace_verified,"Named OSM tourism=museum feature with stable way ID and coordinate; the Central Province Tourism Department lists the museum under Matale District. Duration is a bounded 90-minute research estimate."
osm-node-2714398529,,NIFS Sam Popham's Arboretum,7.8608100,80.6758600,Matale,Nature|Wildlife,120,bounded_research_estimate_v1,,OpenStreetMap,https://www.openstreetmap.org/node/2714398529,ODbL 1.0,source_trace_verified,"Named OSM tourism feature with stable node ID and coordinate; NIFS and the Central Province Tourism Department corroborate the Dambulla arboretum identity. Duration is a bounded 120-minute research estimate."
wikidata-Q1146327,,Pidurutalagala,7.0008333,80.7738889,Nuwara Eliya,Nature|Adventure,180,bounded_research_estimate_v1,,Wikidata,https://www.wikidata.org/wiki/Q1146327,CC0 1.0,source_trace_verified,"Staged Wikidata identity and coordinate within the Nuwara Eliya district query; Central Province tourism corroborates the mountain near Nuwara Eliya. Duration is a bounded 180-minute research estimate."
wikidata-Q19710937,,Dunsinane Falls,7.0117222,80.7056667,Nuwara Eliya,Nature|Adventure,90,bounded_research_estimate_v1,,Wikidata,https://www.wikidata.org/wiki/Q19710937,CC0 1.0,source_trace_verified,"Staged Wikidata identity and coordinate within the Nuwara Eliya district query; Central Province tourism corroborates the falls. Duration is a bounded 90-minute research estimate including approach."
