Place_ID,Legacy_Place_ID,Name,Latitude,Longitude,District,Tags,Duration_Minutes,Duration_Basis,Rating,Source_Name,Source_URL,Source_License,Verification_Status,Verification_Note
wikidata-Q15717689,1,Temple of the Sacred Tooth Relic,7.2936111,80.6413889,Kandy,History|Culture|Religion,120,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q15717689,CC0 1.0,source_trace_verified,"Named Kandy Buddhist temple and tourist attraction; identity and coordinate are source-traced."
wikidata-Q3119056,2,"Royal Botanic Gardens, Peradeniya",7.2700000,80.6000000,Kandy,Nature,150,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q3119056,CC0 1.0,source_trace_verified,"Named botanical garden in Peradeniya; identity and coordinate are source-traced."
wikidata-Q5966035,3,Kandy Lake,7.2917389,80.6396389,Kandy,Nature|City,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q5966035,CC0 1.0,source_trace_verified,"Named reservoir located in Kandy; identity and coordinate are source-traced."
wikidata-Q7876953,4,Udawatta Kele Sanctuary,7.2994444,80.6394444,Kandy,Nature|Wildlife,120,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q7876953,CC0 1.0,source_trace_verified,"Named protected area in Kandy; identity and coordinate are source-traced."
osm-node-3276843504,5,Ceylon Tea Museum,7.2686376,80.6326564,Kandy,History|Culture,90,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,ODbL 1.0,source_trace_verified,"Named tourism=museum feature with website and Wikidata tags in the staged source trace."
osm-node-4157023134,7,Arthur's Seat,7.2890117,80.6399363,Kandy,Nature|City,45,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,ODbL 1.0,source_trace_verified,"Named tourism=viewpoint feature in the staged Kandy source trace."
wikidata-Q20859170,8,British Garrison Cemetery,7.2928056,80.6431944,Kandy,History,45,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q20859170,CC0 1.0,source_trace_verified,"Named historic cemetery located in Kandy; identity and coordinate are source-traced."
wikidata-Q3217592,9,Lankatilaka Vihara,7.2300000,80.5600000,Kandy,History|Culture|Religion,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q3217592,CC0 1.0,source_trace_verified,"Named Buddhist temple in Kandy District; identity and coordinate are source-traced."
wikidata-Q25637940,10,Gadaladeniya Vihara,7.2573056,80.5560833,Kandy,History|Culture|Religion,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q25637940,CC0 1.0,source_trace_verified,"Named ancient Buddhist temple; passed the existing reproducible manual Kandy source audit."
wikidata-Q5370021,11,Embekka Devalaya,7.2180556,80.5677778,Kandy,History|Culture|Religion,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q5370021,CC0 1.0,source_trace_verified,"Named Kandy District temple; passed the existing reproducible manual Kandy source audit."
wikidata-Q28015701,16,Alawathugoda Saman Devalaya,7.4100000,80.6044444,Kandy,History|Culture|Religion,45,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q28015701,CC0 1.0,source_trace_verified,"Named temple in Kandy District; identity and coordinate are source-traced."
osm-node-11017570005,17,Giragama Walawwa,7.2942985,80.6359662,Kandy,History|Culture,45,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,ODbL 1.0,source_trace_verified,"Named tourism=attraction feature in the staged Kandy source trace."
wikidata-Q3533580,55,National Museum of Kandy,7.2932600,80.6421400,Kandy,History|Culture,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q3533580,CC0 1.0,source_trace_verified,"Named national museum located in Kandy; identity and coordinate are source-traced."
wikidata-Q20010653,63,"National Railway Museum, Kadugannawa",7.2576100,80.5209000,Kandy,History|Culture,60,research_estimate_from_prototype_v1,,Wikidata,https://www.wikidata.org/wiki/Q20010653,CC0 1.0,source_trace_verified,"Named railway museum; retained once after excluding its duplicate OSM source alias."
osm-node-11096423467,64,Dawson Tower,7.2567324,80.5179264,Kandy,History|City,30,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,ODbL 1.0,source_trace_verified,"Named historic=monument feature in the staged Kandy source trace."
osm-node-11583843280,72,Jodu Ella Water Falls,7.4004888,80.7757620,Kandy,Nature|Adventure,60,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,ODbL 1.0,source_trace_verified,"Named tourism=attraction waterfall feature in the staged Kandy source trace."
osm-node-5063761704,73,Huluganga Ella Waterfall,7.4010665,80.7421521,Kandy,Nature|Adventure,45,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,ODbL 1.0,source_trace_verified,"Named tourism=attraction waterfall feature in the staged Kandy source trace."
osm-node-4440038982,82,Kadiyallana Falls,7.0119444,80.5869842,Kandy,Nature|Adventure,45,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,ODbL 1.0,source_trace_verified,"Named tourism=attraction waterfall feature in the staged Kandy source trace."
osm-node-4566489017,81,Galboda Falls,6.9754081,80.5428804,Kandy,Nature|Adventure,180,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,ODbL 1.0,source_trace_verified,"Named tourism=attraction waterfall feature; verified coordinate replaces the prototype coordinate at runtime."
osm-node-5299675266,12,Ambuluwawa,7.1610736,80.5473402,Kandy,Nature|Adventure|Culture,150,research_estimate_from_prototype_v1,,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,ODbL 1.0,source_trace_verified,"Named natural=peak feature in the staged Kandy source trace; duration remains a research estimate."
