Route/Segment Name,Province/District,Avg Gradient (%),Max Gradient (%),Terrain Type,Road Surface Condition,Hairpin Bends,Avg Elevation (m),Typical Weather Risks,Starting Coords (Lat/Lon),Ending Coords (Lat/Lon)
Ramboda Pass (A5),Central/Nuwara Eliya,8.2,14.5,Steep Mountainous,Asphalt-Good,12,"1,450","High Fog, Landslide Prone","7.051, 80.682","6.985, 80.751"
18 Bends (A26),Central/Matale,7.5,12,Steep Mountainous,Asphalt-Good,17,680,High Landslide Risk,"7.315, 80.824","7.342, 80.951"
Riverston Peak Road,Central/Matale,9,16.5,Steep Mountainous,Broken Tarmac,14,"1,220","Strong Winds, Heavy Fog","7.521, 80.733","7.558, 80.742"
Ella-Wellawaya (A23),Uva/Badulla,6.5,11.5,Steep Mountainous,Asphalt-Good,8,820,"Rockfall, Landslide","6.872, 81.045","6.741, 81.102"
Beragala-Haputale (A4),Uva/Badulla,7.8,13.8,Steep Mountainous,Asphalt-Good,6,"1,180","Extreme Fog, Winds","6.751, 80.912","6.772, 80.951"
Hatton-Nuwara Eliya (A7),Central/Nuwara Eliya,5.8,11,Rolling Hills,Asphalt-Good,5,"1,320","Persistent Rain, Fog","6.892, 80.601","6.965, 80.762"
Badulla-Spring Valley (B097),Uva/Badulla,8.5,16.2,Steep Mountainous,Broken Tarmac,15,"1,210",Landslide Prone,"6.982, 81.051","7.021, 81.122"
Bandarawela-Poonagala (B042),Uva/Badulla,7,13.5,Steep Mountainous,Asphalt-Fair,10,"1,380",High Fog Risk,"6.831, 80.982","6.781, 81.021"
Passara-Moneragala (A22),Uva/Moneragala,6.2,11.8,Steep Mountainous,Asphalt-Good,12,780,Rockfall Risk,"6.931, 81.152","6.882, 81.341"
Norton Bridge Access (B025),Central/Nuwara Eliya,7.6,13,Steep Mountainous,Asphalt-Good,7,"1,080",Strong Winds,"6.901, 80.521","6.932, 80.512"
Adam's Peak - Nallathanniya,Sabaragamuwa/Rat,9.2,17,Steep Mountainous,Asphalt-Fair,9,"1,150","High Rainfall, Landslide","6.832, 80.531","6.812, 80.501"
