Activity_ID,Name,District,Category,Description,Latitude,Longitude,Opening_Hours,Price_Level,Suitable_For,Duration_Hours
ACT_00001,Ampara Cooking Class 0001,Ampara,Food,Food activity in Ampara suitable for couple travelers.,7.265189,81.688223,05:30-20:00,Medium,Couple,5
ACT_00002,Batticaloa Waterfall Visit 0002,Batticaloa,Nature,Nature activity in Batticaloa suitable for group travelers.,7.681245,81.712834,24 Hours,Medium,Group,6
ACT_00003,Anuradhapura Sacred Site Visit 0003,Anuradhapura,Religious,Religious activity in Anuradhapura suitable for kids travelers.,8.256018,80.457104,24 Hours,High,Kids,5
ACT_00004,Mannar Lagoon Boat Ride 0004,Mannar,Beach,Beach activity in Mannar suitable for solo travelers.,9.040029,79.881704,05:30-20:00,Low,Solo,6
ACT_00005,Mannar Temple Visit 0005,Mannar,Culture,Culture activity in Mannar suitable for couple travelers.,8.941783,79.841911,09:00-18:00,Medium,Couple,6
ACT_00006,Ratnapura Zipline 0006,Ratnapura,Adventure,Adventure activity in Ratnapura suitable for senior travelers.,6.710974,80.415633,08:00-17:00,Low,Senior,3
ACT_00007,Ella Traditional Village Visit 0007,Ella,Culture,Culture activity in Ella suitable for senior travelers.,6.87693,81.11055,10:00-22:00,Medium,Senior,2
ACT_00008,Mullaitivu Ancient City Tour 0008,Mullaitivu,Culture,Culture activity in Mullaitivu suitable for group travelers.,9.189126,80.829276,10:00-22:00,Medium,Group,3
ACT_00009,Ella Tea Tasting 0009,Ella,Food,Food activity in Ella suitable for couple travelers.,6.930094,81.102808,05:30-20:00,High,Couple,5
ACT_00010,Batticaloa Meditation Session 0010,Batticaloa,Wellness,Wellness activity in Batticaloa suitable for adventure travelers.,7.705132,81.70361,05:30-20:00,Medium,Adventure,3
ACT_00011,Badulla Whale Watching 0011,Badulla,Wildlife,Wildlife activity in Badulla suitable for family travelers.,7.045893,81.018677,06:00-18:00,Low,Family,1
ACT_00012,Kilinochchi Ayurveda Session 0012,Kilinochchi,Wellness,Wellness activity in Kilinochchi suitable for group travelers.,9.457275,80.382739,24 Hours,High,Group,5
ACT_00013,Matara Street Food Tour 0013,Matara,Food,Food activity in Matara suitable for adventure travelers.,5.979046,80.615702,08:00-17:00,Medium,Adventure,2
ACT_00014,Polonnaruwa Spa Treatment 0014,Polonnaruwa,Wellness,Wellness activity in Polonnaruwa suitable for family travelers.,7.992142,81.060934,09:00-18:00,Medium,Family,4
ACT_00015,Badulla Botanical Garden Walk 0015,Badulla,Nature,Nature activity in Badulla suitable for family travelers.,7.040396,81.116902,24 Hours,Low,Family,2
ACT_00016,Kurunegala Lagoon Boat Ride 0016,Kurunegala,Beach,Beach activity in Kurunegala suitable for family travelers.,7.445304,80.389673,09:00-18:00,Low,Family,1
ACT_00017,Mullaitivu Hindu Temple Visit 0017,Mullaitivu,Religious,Religious activity in Mullaitivu suitable for couple travelers.,9.266233,80.82678,06:00-18:00,High,Couple,5
ACT_00018,Monaragala Bird Sanctuary Visit 0018,Monaragala,Wildlife,Wildlife activity in Monaragala suitable for kids travelers.,6.940622,81.415877,10:00-22:00,Low,Kids,5
ACT_00019,Batticaloa Botanical Garden Walk 0019,Batticaloa,Nature,Nature activity in Batticaloa suitable for group travelers.,7.746647,81.714741,09:00-18:00,Medium,Group,6
ACT_00020,Ampara Tea Estate Tour 0020,Ampara,Nature,Nature activity in Ampara suitable for couple travelers.,7.247029,81.72465,24 Hours,Medium,Couple,5
ACT_00021,Matale Safari Ride 0021,Matale,Adventure,Adventure activity in Matale suitable for solo travelers.,7.524889,80.568081,09:00-18:00,Medium,Solo,6
ACT_00022,Hambantota Spice Garden Visit 0022,Hambantota,Food,Food activity in Hambantota suitable for kids travelers.,6.051155,81.170162,24 Hours,High,Kids,5
ACT_00023,Trincomalee Seafood Experience 0023,Trincomalee,Food,Food activity in Trincomalee suitable for couple travelers.,8.560003,81.24066,09:00-18:00,Low,Couple,3
ACT_00024,Kalutara Temple Visit 0024,Kalutara,Culture,Culture activity in Kalutara suitable for senior travelers.,6.51588,80.002545,24 Hours,High,Senior,3
ACT_00025,Jaffna Whale Watching 0025,Jaffna,Wildlife,Wildlife activity in Jaffna suitable for senior travelers.,9.65131,80.065774,05:30-20:00,Low,Senior,3
ACT_00026,Polonnaruwa National Park Safari 0026,Polonnaruwa,Wildlife,Wildlife activity in Polonnaruwa suitable for couple travelers.,7.958107,81.044774,09:00-18:00,High,Couple,4
ACT_00027,Nuwara Eliya Turtle Hatchery Visit 0027,Nuwara Eliya,Wildlife,Wildlife activity in Nuwara Eliya suitable for adventure travelers.,7.007309,80.728077,10:00-22:00,Low,Adventure,5
ACT_00028,Anuradhapura Botanical Garden Walk 0028,Anuradhapura,Nature,Nature activity in Anuradhapura suitable for kids travelers.,8.236244,80.457046,05:30-20:00,Medium,Kids,2
ACT_00029,Matale Safari Ride 0029,Matale,Adventure,Adventure activity in Matale suitable for adventure travelers.,7.466486,80.687993,10:00-22:00,Low,Adventure,2
ACT_00030,Mannar Museum Tour 0030,Mannar,Culture,Culture activity in Mannar suitable for kids travelers.,8.992024,79.859287,06:00-18:00,Low,Kids,6
ACT_00031,Polonnaruwa Sunset Walk 0031,Polonnaruwa,Beach,Beach activity in Polonnaruwa suitable for senior travelers.,7.90715,80.941813,10:00-22:00,Medium,Senior,2
ACT_00032,Kalutara Zipline 0032,Kalutara,Adventure,Adventure activity in Kalutara suitable for kids travelers.,6.655431,79.947267,24 Hours,Medium,Kids,3
ACT_00033,Matale Seafood Experience 0033,Matale,Food,Food activity in Matale suitable for senior travelers.,7.485514,80.627695,05:30-20:00,Medium,Senior,1
ACT_00034,Anuradhapura Beach Relaxation 0034,Anuradhapura,Beach,Beach activity in Anuradhapura suitable for couple travelers.,8.343588,80.412322,05:30-20:00,Low,Couple,2
ACT_00035,Monaragala Cycling Tour 0035,Monaragala,Adventure,Adventure activity in Monaragala suitable for kids travelers.,6.841173,81.28405,09:00-18:00,High,Kids,3
ACT_00036,Negombo Forest Trail 0036,Negombo,Nature,Nature activity in Negombo suitable for group travelers.,7.269093,79.839299,09:00-18:00,Low,Group,1
ACT_00037,Ratnapura Spa Treatment 0037,Ratnapura,Wellness,Wellness activity in Ratnapura suitable for couple travelers.,6.76943,80.461546,05:30-20:00,Low,Couple,4
ACT_00038,Ella Sunset Walk 0038,Ella,Beach,Beach activity in Ella suitable for adventure travelers.,6.823705,80.985698,10:00-22:00,High,Adventure,6
ACT_00039,Kalutara Zipline 0039,Kalutara,Adventure,Adventure activity in Kalutara suitable for adventure travelers.,6.631547,80.018749,06:00-18:00,Medium,Adventure,6
ACT_00040,Matale Tea Estate Tour 0040,Matale,Nature,Nature activity in Matale suitable for senior travelers.,7.540236,80.557665,05:30-20:00,Medium,Senior,4
ACT_00041,Ratnapura Church Heritage Visit 0041,Ratnapura,Religious,Religious activity in Ratnapura suitable for kids travelers.,6.730461,80.394041,08:00-17:00,High,Kids,1
ACT_00042,Polonnaruwa Turtle Hatchery Visit 0042,Polonnaruwa,Wildlife,Wildlife activity in Polonnaruwa suitable for solo travelers.,7.871351,81.098263,24 Hours,Low,Solo,1
ACT_00043,Ella Cycling Tour 0043,Ella,Adventure,Adventure activity in Ella suitable for solo travelers.,6.80364,81.043146,24 Hours,High,Solo,5
ACT_00044,Kurunegala Botanical Garden Walk 0044,Kurunegala,Nature,Nature activity in Kurunegala suitable for adventure travelers.,7.480229,80.35467,09:00-18:00,High,Adventure,4
ACT_00045,Negombo Spice Garden Visit 0045,Negombo,Food,Food activity in Negombo suitable for kids travelers.,7.242758,79.816419,08:00-17:00,Medium,Kids,1
ACT_00046,Matale Cooking Class 0046,Matale,Food,Food activity in Matale suitable for solo travelers.,7.42884,80.639087,10:00-22:00,Medium,Solo,4
ACT_00047,Ella Waterfall Visit 0047,Ella,Nature,Nature activity in Ella suitable for kids travelers.,6.839915,80.968655,10:00-22:00,Low,Kids,6
ACT_00048,Jaffna Forest Trail 0048,Jaffna,Nature,Nature activity in Jaffna suitable for senior travelers.,9.610315,80.030954,10:00-22:00,Low,Senior,6
ACT_00049,Monaragala Bird Sanctuary Visit 0049,Monaragala,Wildlife,Wildlife activity in Monaragala suitable for kids travelers.,6.839551,81.359929,06:00-18:00,Medium,Kids,1
ACT_00050,Matara Turtle Hatchery Visit 0050,Matara,Wildlife,Wildlife activity in Matara suitable for couple travelers.,5.941663,80.555595,06:00-18:00,Medium,Couple,5
ACT_00051,Negombo Whale Watching 0051,Negombo,Wildlife,Wildlife activity in Negombo suitable for solo travelers.,7.210648,79.759184,05:30-20:00,Low,Solo,5
ACT_00052,Anuradhapura Pilgrimage Walk 0052,Anuradhapura,Religious,Religious activity in Anuradhapura suitable for kids travelers.,8.331475,80.336504,09:00-18:00,Low,Kids,4
ACT_00053,Badulla Botanical Garden Walk 0053,Badulla,Nature,Nature activity in Badulla suitable for senior travelers.,6.975715,80.99218,06:00-18:00,Low,Senior,3
ACT_00054,Galle Hindu Temple Visit 0054,Galle,Religious,Religious activity in Galle suitable for group travelers.,6.093399,80.155053,06:00-18:00,High,Group,2
ACT_00055,Matara Waterfall Visit 0055,Matara,Nature,Nature activity in Matara suitable for couple travelers.,5.904599,80.547489,09:00-18:00,Medium,Couple,3
ACT_00056,Kandy Traditional Village Visit 0056,Kandy,Culture,Culture activity in Kandy suitable for couple travelers.,7.287257,80.651668,08:00-17:00,High,Couple,3
ACT_00057,Trincomalee Safari Ride 0057,Trincomalee,Adventure,Adventure activity in Trincomalee suitable for solo travelers.,8.607775,81.176943,06:00-18:00,Low,Solo,2
ACT_00058,Jaffna Waterfall Visit 0058,Jaffna,Nature,Nature activity in Jaffna suitable for adventure travelers.,9.658222,79.959155,09:00-18:00,High,Adventure,1
ACT_00059,Ratnapura Bird Sanctuary Visit 0059,Ratnapura,Wildlife,Wildlife activity in Ratnapura suitable for couple travelers.,6.709285,80.33986,06:00-18:00,Medium,Couple,4
ACT_00060,Kalutara Traditional Village Visit 0060,Kalutara,Culture,Culture activity in Kalutara suitable for solo travelers.,6.62583,79.931469,06:00-18:00,Medium,Solo,5
ACT_00061,Mannar Cooking Class 0061,Mannar,Food,Food activity in Mannar suitable for senior travelers.,8.994267,79.851989,24 Hours,Medium,Senior,2
ACT_00062,Matale Botanical Garden Walk 0062,Matale,Nature,Nature activity in Matale suitable for family travelers.,7.499765,80.579182,24 Hours,High,Family,1
ACT_00063,Badulla Temple Visit 0063,Badulla,Culture,Culture activity in Badulla suitable for solo travelers.,7.019662,81.069137,24 Hours,Medium,Solo,5
ACT_00064,Galle Spa Treatment 0064,Galle,Wellness,Wellness activity in Galle suitable for group travelers.,6.05788,80.195955,09:00-18:00,High,Group,2
ACT_00065,Hambantota Tea Estate Tour 0065,Hambantota,Nature,Nature activity in Hambantota suitable for adventure travelers.,6.156072,81.084017,09:00-18:00,Medium,Adventure,3
ACT_00066,Kilinochchi Hiking 0066,Kilinochchi,Adventure,Adventure activity in Kilinochchi suitable for solo travelers.,9.331481,80.34684,06:00-18:00,Low,Solo,3
ACT_00067,Mullaitivu Botanical Garden Walk 0067,Mullaitivu,Nature,Nature activity in Mullaitivu suitable for senior travelers.,9.341842,80.768896,09:00-18:00,Low,Senior,4
ACT_00068,Kurunegala Surfing Lesson 0068,Kurunegala,Beach,Beach activity in Kurunegala suitable for kids travelers.,7.451521,80.342654,06:00-18:00,High,Kids,1
ACT_00069,Badulla Whale Watching 0069,Badulla,Wildlife,Wildlife activity in Badulla suitable for kids travelers.,6.985601,81.037132,06:00-18:00,High,Kids,2
ACT_00070,Mannar Ayurveda Session 0070,Mannar,Wellness,Wellness activity in Mannar suitable for kids travelers.,9.021833,79.902235,10:00-22:00,Medium,Kids,2
ACT_00071,Polonnaruwa Ayurveda Session 0071,Polonnaruwa,Wellness,Wellness activity in Polonnaruwa suitable for group travelers.,7.937796,81.073912,05:30-20:00,High,Group,3
ACT_00072,Trincomalee Tea Tasting 0072,Trincomalee,Food,Food activity in Trincomalee suitable for couple travelers.,8.563475,81.246244,05:30-20:00,High,Couple,5
ACT_00073,Anuradhapura Bird Watching 0073,Anuradhapura,Nature,Nature activity in Anuradhapura suitable for solo travelers.,8.246112,80.483283,08:00-17:00,High,Solo,1
ACT_00074,Anuradhapura Forest Trail 0074,Anuradhapura,Nature,Nature activity in Anuradhapura suitable for senior travelers.,8.345421,80.44913,06:00-18:00,Medium,Senior,1
ACT_00075,Ella Tea Tasting 0075,Ella,Food,Food activity in Ella suitable for adventure travelers.,6.828337,81.04421,09:00-18:00,Medium,Adventure,2
ACT_00076,Trincomalee Temple Visit 0076,Trincomalee,Culture,Culture activity in Trincomalee suitable for family travelers.,8.530514,81.143344,08:00-17:00,High,Family,2
ACT_00077,Puttalam Turtle Hatchery Visit 0077,Puttalam,Wildlife,Wildlife activity in Puttalam suitable for solo travelers.,8.00097,79.815044,24 Hours,Medium,Solo,2
ACT_00078,Ella Seafood Experience 0078,Ella,Food,Food activity in Ella suitable for kids travelers.,6.804499,81.106988,08:00-17:00,Medium,Kids,4
ACT_00079,Kurunegala Tea Estate Tour 0079,Kurunegala,Nature,Nature activity in Kurunegala suitable for senior travelers.,7.518482,80.419981,05:30-20:00,High,Senior,6
ACT_00080,Anuradhapura Spice Garden Visit 0080,Anuradhapura,Food,Food activity in Anuradhapura suitable for adventure travelers.,8.241439,80.409592,05:30-20:00,Low,Adventure,5
ACT_00081,Matara Snorkeling 0081,Matara,Beach,Beach activity in Matara suitable for kids travelers.,6.004017,80.558693,24 Hours,Low,Kids,2
ACT_00082,Batticaloa Botanical Garden Walk 0082,Batticaloa,Nature,Nature activity in Batticaloa suitable for adventure travelers.,7.630474,81.63515,08:00-17:00,High,Adventure,4
ACT_00083,Puttalam Safari Ride 0083,Puttalam,Adventure,Adventure activity in Puttalam suitable for solo travelers.,7.986745,79.898343,05:30-20:00,Low,Solo,3
ACT_00084,Badulla Yoga Morning 0084,Badulla,Wellness,Wellness activity in Badulla suitable for senior travelers.,6.92717,80.989291,24 Hours,High,Senior,4
ACT_00085,Kurunegala Traditional Village Visit 0085,Kurunegala,Culture,Culture activity in Kurunegala suitable for kids travelers.,7.546071,80.335921,05:30-20:00,Low,Kids,5
ACT_00086,Nuwara Eliya Beach Relaxation 0086,Nuwara Eliya,Beach,Beach activity in Nuwara Eliya suitable for group travelers.,6.915036,80.864488,09:00-18:00,High,Group,3
ACT_00087,Galle Hiking 0087,Galle,Adventure,Adventure activity in Galle suitable for group travelers.,5.99238,80.194601,10:00-22:00,Low,Group,3
ACT_00088,Kalutara Hindu Temple Visit 0088,Kalutara,Religious,Religious activity in Kalutara suitable for adventure travelers.,6.553139,79.986684,08:00-17:00,Low,Adventure,4
ACT_00089,Matara Cycling Tour 0089,Matara,Adventure,Adventure activity in Matara suitable for solo travelers.,6.007539,80.512684,05:30-20:00,Low,Solo,1
ACT_00090,Mannar National Park Safari 0090,Mannar,Wildlife,Wildlife activity in Mannar suitable for adventure travelers.,9.009288,79.870574,05:30-20:00,High,Adventure,1
ACT_00091,Puttalam Elephant Watching 0091,Puttalam,Wildlife,Wildlife activity in Puttalam suitable for couple travelers.,7.972063,79.854393,09:00-18:00,Medium,Couple,6
ACT_00092,Galle Hiking 0092,Galle,Adventure,Adventure activity in Galle suitable for solo travelers.,6.1187,80.182716,10:00-22:00,High,Solo,4
ACT_00093,Badulla Wellness Retreat 0093,Badulla,Wellness,Wellness activity in Badulla suitable for couple travelers.,7.016478,80.982685,08:00-17:00,Medium,Couple,1
ACT_00094,Trincomalee Waterfall Visit 0094,Trincomalee,Nature,Nature activity in Trincomalee suitable for couple travelers.,8.565583,81.288177,24 Hours,High,Couple,3
ACT_00095,Hambantota Turtle Hatchery Visit 0095,Hambantota,Wildlife,Wildlife activity in Hambantota suitable for senior travelers.,6.186907,81.159822,08:00-17:00,Medium,Senior,4
ACT_00096,Ratnapura Ayurveda Session 0096,Ratnapura,Wellness,Wellness activity in Ratnapura suitable for group travelers.,6.763019,80.434073,09:00-18:00,High,Group,3
ACT_00097,Matale Ancient City Tour 0097,Matale,Culture,Culture activity in Matale suitable for adventure travelers.,7.458616,80.582098,10:00-22:00,High,Adventure,4
ACT_00098,Batticaloa Pilgrimage Walk 0098,Batticaloa,Religious,Religious activity in Batticaloa suitable for group travelers.,7.708672,81.745783,24 Hours,High,Group,1
ACT_00099,Ampara Bird Sanctuary Visit 0099,Ampara,Wildlife,Wildlife activity in Ampara suitable for family travelers.,7.272756,81.749975,24 Hours,Low,Family,3
