Landmark,Basic Info,History,Cultural Significance,Opening Hours,Ticket Info,Best Time to Visit,Weather Suitability,Things to do,Nearby Restaurants,Nearby Hotels,Nearby Attractions,Transport Options,Accessibility,Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigiriya (Lion Rock),Ancient rock fortress and palace ruin in Matale District.,Built by King Kasyapa (477-495 CE) as a capital and palace.,UNESCO World Heritage; 8th Wonder of the World; ancient urban planning.,7:00 AM - 5:30 PM,Foreigners: $30; local: LKR 200,7:00 AM or 3:30 PM,Best in dry season; avoid rain (slippery steps),"Climb summit, view frescoes, Mirror Wall, Water Gardens","Ahinsa, Pradeep, Kenoli","Hotel Sigiriya, Aliya Resort, Sigiriya Village","Pidurangala, Minneriya Park","Tuk-tuks from Dambulla, public bus, private taxi","Difficult; 1,200 steep steps",3 - hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple of the Sacred Tooth Relic,"Most sacred Buddhist temple in Sri Lanka, located in Kandy.","Houses the relic of the tooth of Buddha, brought in the 4th century CE.",Symbol of Sri Lankan sovereignty; major pilgrimage site.,5:30 AM - 8:00 PM,"Foreigners: LKR 2,000; Local: LKR 1,500","Ceremony times: 5:30 AM, 9:30 AM, or 6:30 PM",Year-round (Indoor site),"Observe rituals, visit museum, walk Kandy Lake","The Empire CafE©, Balaji Dosai, Slightly Chilled","Queen's Hotel, Earl's Regency, The Radh","Kandy Lake, Bahiravokanda, Udawattakele","Central; foot, tuk-tuk, or bus",Moderate; wheelchair ramps available,1.5 - 2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Royal Botanical Gardens, Peradeniya","Largest botanical garden in Sri Lanka, near Kandy.",Origins from 1371; formally established by British in 1821.,Renowned for orchid collection and giant Javan fig trees.,7:30 AM - 5:00 PM,"Foreigners: LKR 3,000; Local: LKR 600",Early morning or late afternoon,"Best in dry season, but lush in monsoon","Visit Orchid House, Palm Avenue, Cannonball Tree","Honeypot, Garden CafE©","Amaya Hills, Mountbatten Bungalow",Ceylon Tea Museum,Tuk-tuk or bus from Kandy town,High; flat paths,2 - 3 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horton Plains National Park,Protected area in central highlands with montane grassland and cloud forest.,Former hunting ground for British; National Park since 1988.,UNESCO World Heritage; source of three major rivers.,6:00 AM - 4:00 PM,Approx. $25 - $30 per person (group/vehicle dependent),6:00 AM - 9:00 AM (for clear views),Cool/windy; avoid heavy rain (Oct-Dec),"9km hike, World's End, Mini World's End, Baker's Falls",Limited; small canteen at entrance,"Jetwing Warwick Gardens, Nuwara Eliya hotels","Ambewela Farm, Moon Plains",Private van/tuk-tuk from Nuwara Eliya or Ohiya,Low; 9km hike on uneven terrain,3 - 5 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambuluwawa Tower,Multi-religious center and biodiversity complex in Gampola.,Built in 2006 as a symbol of religious harmony.,"Features Buddhist, Hindu, Muslim, and Christian structures in one site.",8:30 AM - 5:00 PM,"Foreigners: LKR 1,000",Early morning,Avoid high winds or rain (narrow stairs),"Climb spiral tower, explore religious buildings",Small local eateries in Gampola,Boutique villas in Gampola/Kandy,"Gadaladeniya, Lankatilaka",Tuk-tuk from Gampola station,Low (tower); Moderate (grounds),1 - 2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kandy War Cemetery,Military cemetery commemorating WWII soldiers.,Managed by Commonwealth War Graves Commission for WWII fallen.,Place of quiet reflection and remembrance of history.,7:00 AM - 4:00 PM,Free,Anytime during opening hours,Manageable in light rain,"Photography, pay respects, learn WWII history",Kandy Garden CafE©,"Mahaweli Reach, Cinnamon Citadel",Peradeniya Botanical Gardens,Short tuk-tuk ride from Kandy/Peradeniya,High; flat lawn,30 - 45 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramboda Falls,"11th highest waterfall in Sri Lanka, Pussellawa area.",Natural landmark along the Kandy-Nuwara Eliya road.,Iconic stop for travelers in the hill country.,24/7 (Public); Hotels 8 AM - 5 PM,Free,During/after rainy season,Clear days for photography; mist can block view,"Photography, nature walk to upper falls","Ramboda Falls Hotel, Blue Field Tea","Ramboda Falls Hotel, Thura-Arana","Damro Labookellie, Hanuman Temple",Bus or car on A5 highway,"Moderate; roadside easy, base via stairs",45 mins - 1 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dambulla Cave Temple,Largest and best-preserved cave temple complex in Sri Lanka.,Dates to 1st century BCE; King Valagamba took refuge here.,UNESCO World Heritage; 153 Buddha statues and ancient murals.,7:00 AM - 7:00 PM,"Foreigners: LKR 2,000",Late afternoon,Indoor caves; walk up is exposed,"Explore five caves, Golden Buddha at base","Mango Mango, Athula","Jetwing Vil Uyana, Heritance Kandalama","Ibbankatuwa Tombs, Economic Centre","Public bus from Kandy/Sigiriya, tuk-tuk",Moderate; 15-20 min uphill stone stairs,1.5 - 2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polonnaruwa Vatadage,Circular relic house in the ancient city of Polonnaruwa.,"Built 12th century, likely by King Parakramabahu I.",Masterpiece of ancient Sinhalese architecture.,7:00 AM - 6:00 PM,Part of Polonnaruwa ticket ($30 Foreigners),Morning or late afternoon (hot floor),Best in dry weather; shoes must be removed,"Admire carvings, visit Quadrangle ruins","Jaga Food, Priyamali Gedara","Ekho Lake House, Deer Park Hotel","Gal Vihara, Parakrama Samudra",Rent bicycle or hire tuk-tuk within ruins,Moderate; some steps to platforms,45 mins (Vatadage) / 3-4 hrs (City),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
