,Landmark Name,Category,Province & District,GPS Coordinates,Description,History,Built By / Founder,Year Built / Historical Period,Cultural/Religious Significance,Main Attractions,Opening Hours,Average Visit Duration:,Ticket Price (Foreign),Best Time to Visit,Nearby Attractions,Nearby Hotels,Nearby Restaurants, 
1,Sigiriya,"Ancient City ,Rock Fortress","Central Province, Matale District","7.9570° N, 80.7603° E","Sigiriya is one of Sri Lanka's most iconic archaeological sites, featuring a massive rock fortress that rises approximately 200 meters above the surrounding plains. Recognized as a UNESCO World Heritage Site, it is renowned for its ancient frescoes, landscaped gardens, and remarkable engineering.","Sigiriya was developed during the reign of King Kashyapa I (477–495 CE), who transformed the enormous rock into a royal palace and fortified capital after seizing the throne from his father, King Dhatusena. The complex included sophisticated water gardens, terraced gardens, defensive moats, and elaborate palace structures atop the rock. After King Kashyapa's death in 495 CE, Sigiriya reverted to a Buddhist monastery and remained an important religious site until about the 14th century. Today, it is considered one of the finest examples of ancient urban planning and engineering in South Asia.",King Kashyapa I,Approximately 477–495 CE (Anuradhapura Period),"UNESCO World Heritage Site (designated in 1982),Outstanding example of ancient Sri Lankan architecture and engineering,Former royal capital of King Kashyapa,Later served as an important Buddhist monastic complex,One of Sri Lanka's most significant archaeological and cultural heritage sites","Sigiriya Rock Summit, Lion Gate, Sigiriya Frescoes, Mirror Wall, Water Gardens,Boulder Gardens,Terraced Gardens,Ancient Moats and Ramparts ,Royal Swimming Pool, Panoramic viewpoints from the summit",Daily: 5:30 AM – 6:00 PM,2–4 hours,US$35 per adult,January to April and Early morning,"Pidurangala Rock, Dambulla Cave Temple, Sigiriya Museum, Minneriya National Park, Ritigala Archaeological Monastery.","Hotel Sigiriya, Heritance Kandalama, Aliya Resort & Spa, EKHO Sigiriya, Water Garden Sigiriya.","Wijesiri Family Restaurant, Ahinsa Restaurant, Chooti Restaurant, Kenoli Restaurant, Pradeep Restaurant Sigiriya", 
2,Pidurangala Rock,Mountain / Historical Site,Central Province – Matale District,"7.9725° N, 80.7511° E","Pidurangala Rock is a famous natural and historical viewpoint located near Sigiriya, offering one of the best panoramic views of Sigiriya Rock Fortress. The site combines adventure trekking, ancient Buddhist heritage, and spectacular sunrise and sunset scenery.","Pidurangala has a history connected with ancient Buddhist monastic traditions. During the reign of King Kashyapa I (477–495 AD), monks who lived around Sigiriya were relocated to Pidurangala when the king developed Sigiriya as his royal palace complex. The ancient cave temple and reclining Buddha statue at the site reflect its importance as a Buddhist monastery.",Buddhist monks and later developed near Sigiriya royal complex,Ancient period; monastery expanded around 1st millennium AD,Historic Buddhist monastery site offering spiritual importance and panoramic views of Sigiriya.,"Buddha statue, cave temple, meditation caves, sunrise viewpoint, Sigiriya view.",5:00 AM – 6:00 PM,2–3 hours,Approx. USD 3–5,January–April; sunrise (5:30–7:00 AM),"Sigiriya, Dambulla Cave Temple, Minneriya National Park, Kaudulla National Park, Sigiriya Museum","Pidurangala View Resort, Sigiriya Village Hotel, Aliya Resort & Spa, Hotel Sigiriya, Sevonrich Holiday Resort","Sigiri Bird Villa Restaurant, Pradeep Restaurant, Ahinsa Restaurant, Rithu Restaurant, The Kitchen Restaurant", 
3,Dambulla Cave Temple,Temple,Central Province – Matale District,"7.8568° N, 80.6492° E","Dambulla Cave Temple is Sri Lanka’s largest and best-preserved cave temple complex, famous for its Buddhist paintings and hundreds of statues. It is a UNESCO World Heritage Site and one of the island’s most important pilgrimage destinations.","The history of Dambulla Cave Temple dates back to the 1st century BC when King Valagamba sought refuge in the caves during an invasion from South India. After regaining his throne, he transformed the caves into a Buddhist shrine. Later kings expanded and decorated the complex with murals, statues, and religious artwork.",King Valagamba (traditional attribution),1st century BC; expanded under later Kandyan kings,Sri Lanka’s largest and best-preserved cave temple complex with major Buddhist heritage value.,"Five caves, Buddha statues, murals, Golden Temple, cave paintings.",7:00 AM – 7:00 PM,1.5–2 hours,Approx. USD 10–15,January–April; morning or late afternoon,"Sigiriya, Pidurangala Rock, Minneriya National Park, Ibbankatuwa Megalithic Tombs, Rangiri Dambulla Stadium","Heritance Kandalama, Amaya Lake, Jetwing Lake, Sundaras Resort, Sigiriana Resort","Sandra Restaurant, Mango Mango Restaurant, Athula Restaurant, Perera & Sons Dambulla, Kenoli Restaurant", 
4,Temple of the Sacred Tooth Relic (Kandy),Religious Site,Central Province – Kandy District,"7.2936° N, 80.6413° E","The Temple of the Sacred Tooth Relic is Sri Lanka’s most sacred Buddhist shrine, housing the relic of the Buddha’s tooth. Located in the historic city of Kandy, it attracts pilgrims and visitors from around the world.",The temple was established during the Kandyan Kingdom to protect and honour the Sacred Tooth Relic brought to Sri Lanka in the 4th century AD. The present temple complex was mainly developed under Kandyan rulers between the 17th and 18th centuries. It became the spiritual symbol of Sri Lankan kingship and Buddhist identity.,Built by Kandyan kings; current temple developed under King Vimaladharmasuriya I and successors,16th–18th centuries,Sri Lanka’s most sacred Buddhist shrine housing the Buddha’s tooth relic.,"Tooth Relic chamber, golden canopy, temple museum, traditional rituals, lake views.",5:30 AM – 8:00 PM,2–3 hours,Approx. USD 8–15,December–April; morning puja (5:30–7:00 AM) or evening ceremony,"Kandy Lake, Royal Palace of Kandy, Bahirawakanda Statue, Peradeniya Gardens, Udawatta Kele Sanctuary","Theva Residency, Earl’s Regency, Grand Kandyan, Kings Pavilion, Cinnamon Citadel Kandy","The Empire Cafe, Balaji Dosai, Cafe Secret Garden, Devon Restaurant, Slightly Chilled Lounge Bar", 
5,"Royal Botanical Gardens, Peradeniya",Botanical Garden,Central Province – Kandy District,"7.2735° N, 80.5967° E","The Royal Botanical Gardens in Peradeniya is Sri Lanka’s largest botanical garden, famous for its diverse collection of tropical plants, orchids, and historic trees. It is a popular destination for nature lovers and families visiting Kandy.","The gardens originated as a royal pleasure garden of the Kandyan kings before being converted into a botanical garden by the British administration in 1821. It later became an important centre for botanical research, plant conservation, and agricultural development in Sri Lanka.",Developed by British colonial administration; originally royal gardens,Ancient Kandyan royal gardens; expanded in 1821,Important botanical research and heritage garden showcasing Sri Lanka’s plant diversity.,"Orchid House, Giant Javan Fig Tree, palm avenues, spice garden, river scenery.",7:30 AM – 6:00 PM,2–3 hours,Approx. USD 15,January–April; morning or late afternoon,"Kandy Temple, Kandy Lake, Gadaladeniya Temple, Lankatilaka Temple, Embekka Devalaya","Earl’s Regent Hotel, Amaya Hills, The Grand Kandyan, Cinnamon Citadel, Royal Kandyan Hotel","Slightly Chilled Lounge Bar, Cafe Secret Garden, The Whizz, Balaji Dosai, Senani Restaurant", 
6,Ambuluwawa Tower,Observation Tower,Central Province – Kandy District,"7.1647° N, 80.5353° E","Ambuluwawa Tower is a unique multi-religious and ecological landmark located on Ambuluwawa Mountain near Gampola. The tower offers breathtaking 360-degree views of surrounding mountains, forests, and villages.","Ambuluwawa was developed as a biodiversity complex and religious harmony centre by the Sri Lankan government. The iconic tower was constructed in the early 2000s as part of a project promoting environmental conservation, cultural diversity, and spiritual unity.",Concept developed by Sri Lankan government; built as a biodiversity complex,Opened in 2009,Multi-religious landmark symbolizing harmony among Sri Lanka’s communities.,"Spiral tower, mountain views, biodiversity centre, walking trails, viewpoints.",8:00 AM – 5:00 PM,2–3 hours,Approx. USD 3–5,January–April; early morning for clear views,"Gampola Town, Lankatilaka Temple, Gadaladeniya Temple, Kandy, Peradeniya Gardens","Ambuluwawa View Resort, Theva Residency, Earl’s Regency, Mount Havana, Kandy Cabana","Cafe Aroma Inn, Foodlands, Balaji Dosai, Slightly Chilled, Senani Restaurant", 
7,Bahirawakanda Buddha Statue,Religious Site,Central Province – Kandy District,"7.2829° N, 80.6272° E","Bahirawakanda Buddha Statue is a giant white Buddha statue overlooking Kandy city and one of the most recognizable landmarks in the area. It provides beautiful views of the Temple of the Tooth, Kandy Lake, and surrounding hills.","The statue was built as part of a modern Buddhist development project and was unveiled in 1993. Although not an ancient monument, it has become an important religious and cultural symbol for Buddhists visiting Kandy.",Built by Buddhist devotees under Ven. Ampitiye Dammarama Thero,Completed in 1993,Major Buddhist monument overlooking Kandy city.,"Giant Buddha statue, panoramic Kandy views, meditation area, city viewpoint.",6:00 AM – 7:00 PM,1 hour,Approx. USD 1–2,January–April; sunset time,"Temple of Tooth, Kandy Lake, Udawatta Kele, Royal Palace, Peradeniya Gardens","Grand Kandyan, Theva Residency, Earl’s Regency, Kings Pavilion, Cinnamon Citadel","Balaji Dosai, Empire Cafe, Cafe Secret Garden, Devon Restaurant, Slightly Chilled", 
8,Kandy Lake,Lake,Central Province – Kandy District,"7.2936° N, 80.6414° E","Kandy Lake is a historic artificial lake located beside the Temple of the Sacred Tooth Relic in the heart of Kandy. It is known for its peaceful surroundings, scenic beauty, and cultural importance.","Kandy Lake was constructed by King Sri Wickrama Rajasinghe, the last king of the Kandyan Kingdom, between 1807 and 1812. The lake was built as part of the royal city landscape and remains an important feature of Kandy’s historical environment.",Built by King Sri Wickrama Rajasinghe,1807 AD,Historic royal lake and cultural landmark beside the Temple of the Tooth.,"Walking path, island, lake views, boat rides, surrounding temples.",Open all day,1–2 hours,Free,January–April; evening (4:00–6:30 PM),"Temple of Tooth, Bahirawakanda, Udawatta Kele, Kandy Museum, Royal Palace","Grand Kandyan, Queens Hotel, Earl’s Regency, Cinnamon Citadel, Theva Residency","The Empire Cafe, Cafe Secret Garden, Devon Restaurant, Balaji Dosai, Slightly Chilled", 
9,Lankatilaka Temple,Temple,Central Province – Kandy District,"7.2452° N, 80.5617° E","Lankatilaka Temple is a historic Buddhist temple built on a rocky hill near Kandy, famous for its impressive architecture, murals, and ancient inscriptions. It is considered one of the finest examples of Kandyan-era temple design.","The temple was built during the reign of King Bhuvanekabahu IV in the 14th century AD. Designed by South Indian and Sinhalese craftsmen, it served as an important religious centre and was later maintained by Kandyan rulers. Its paintings and architecture reflect medieval Sri Lankan artistic traditions.",King Parakramabahu IV,14th century AD (Gampola period),Historic Buddhist temple famous for Kandyan architecture and murals.,"Image house, Buddha statue, murals, stone inscriptions, mountain views.",8:00 AM – 5:00 PM,1 hour,Approx. USD 2–3,January–April; morning,"Gadaladeniya Temple, Embekka Devalaya, Peradeniya Gardens, Kandy Lake, Ambuluwawa","Theva Residency, Earl’s Regency, Amaya Hills, Grand Kandyan, Cinnamon Citadel","Balaji Dosai, Empire Cafe, Slightly Chilled, Cafe Secret Garden, Senani Restaurant", 
10,Gadaladeniya Temple,Temple,Central Province – Kandy District,"7.2348° N, 80.5530° E","Gadaladeniya Temple is an ancient Buddhist temple near Kandy known for its stone architecture influenced by South Indian styles. It is famous for its carvings, statues, and historical significance.","The temple was built in 1344 AD during the reign of King Bhuvanekabahu IV by the architect Ganesvarachari. The design reflects a mixture of Sri Lankan Buddhist and Dravidian architectural traditions, making it one of the most important monuments of the Gampola period.",King Bhuvanekabahu IV; architect Ganesvarachari,14th century AD (1344 AD),Important Buddhist temple blending South Indian and Sinhalese architecture.,"Stone temple, Buddha image, murals, Devale shrine, ancient inscriptions.",8:00 AM – 5:00 PM,1 hour,Approx. USD 2–3,January–April; morning,"Lankatilaka Temple, Embekka Devalaya, Peradeniya Gardens, Kandy Lake, Ambuluwawa","Amaya Hills, Earl’s Regency, Theva Residency, Grand Kandyan, Cinnamon Citadel","Balaji Dosai, Cafe Secret Garden, Empire Cafe, Slightly Chilled, Senani Restaurant", 
