judgement_id,profile_id,user_interests,place_id,poi_name,district,verified_poi_tags,source_name,source_url,evaluation_partition,reviewer_a_label,reviewer_b_label,final_relevance_label,label_provenance,adjudication_note
P06::wikidata-Q15717689,P06,Adventure,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Kandy,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q15717689,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
P06::wikidata-Q3119056,P06,Adventure,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Kandy,Nature,Wikidata,https://www.wikidata.org/wiki/Q3119056,development_reference_kandy_v1,1,0,1,development_reference_joint_human_adjudication,Joint human adjudication — both reviewers agreed to retain Reviewer A label.
P06::wikidata-Q5966035,P06,Adventure,wikidata-Q5966035,Kandy Lake,Kandy,Nature|City,Wikidata,https://www.wikidata.org/wiki/Q5966035,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
P06::wikidata-Q7876953,P06,Adventure,wikidata-Q7876953,Udawatta Kele Sanctuary,Kandy,Nature|Wildlife,Wikidata,https://www.wikidata.org/wiki/Q7876953,development_reference_kandy_v1,2,0,2,development_reference_joint_human_adjudication,Joint human adjudication — both reviewers agreed to retain Reviewer A label.
P06::osm-node-3276843504,P06,Adventure,osm-node-3276843504,Ceylon Tea Museum,Kandy,History|Culture,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
P06::osm-node-4157023134,P06,Adventure,osm-node-4157023134,Arthur's Seat,Kandy,Nature|City,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
P06::wikidata-Q20859170,P06,Adventure,wikidata-Q20859170,British Garrison Cemetery,Kandy,History,Wikidata,https://www.wikidata.org/wiki/Q20859170,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
P06::wikidata-Q3217592,P06,Adventure,wikidata-Q3217592,Lankatilaka Vihara,Kandy,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q3217592,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
P06::wikidata-Q25637940,P06,Adventure,wikidata-Q25637940,Gadaladeniya Vihara,Kandy,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q25637940,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
P06::wikidata-Q5370021,P06,Adventure,wikidata-Q5370021,Embekka Devalaya,Kandy,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q5370021,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
P06::wikidata-Q28015701,P06,Adventure,wikidata-Q28015701,Alawathugoda Saman Devalaya,Kandy,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q28015701,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
P06::osm-node-11017570005,P06,Adventure,osm-node-11017570005,Giragama Walawwa,Kandy,History|Culture,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
P06::wikidata-Q3533580,P06,Adventure,wikidata-Q3533580,National Museum of Kandy,Kandy,History|Culture,Wikidata,https://www.wikidata.org/wiki/Q3533580,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
P06::wikidata-Q20010653,P06,Adventure,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Kandy,History|Culture,Wikidata,https://www.wikidata.org/wiki/Q20010653,development_reference_kandy_v1,0,0,0,development_reference_reviewer_agreement,
