route_code,route_name,road_segment,gradient,terrain,road_surface,elevation,friction,road_width,hazard_type,risk_factor,season,historical_occurrence_count,severity_level,risk_level,road_data_available,match_type,source_repaired
A26,A26 Kandy-Mahiyangana (Bend 1),No Road Data Available,,Unknown,Unknown,,,Unknown,Rock Fall,Steep Gradient,Oct-Dec (Monsoon),12,High,High,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 2),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,45,Medium,Medium,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 3),No Road Data Available,,Unknown,Unknown,,,Unknown,Rock Fall,Unstable Topsoil,Oct-Dec (Monsoon),14,High,High,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 4),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,38,Medium,Medium,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 5),No Road Data Available,,Unknown,Unknown,,,Unknown,Landslide,Colluvium Soil,Oct-Dec (Monsoon),8,High,High,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 6),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,Poor Visibility,Nov-Feb,60,Low,Low,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 7),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Steep Gradient,Year-round,55,High,High,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 8),No Road Data Available,,Unknown,Unknown,,,Unknown,Rock Fall,Hanging Boulders,Oct-Dec (Monsoon),11,Medium,Medium,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 9),No Road Data Available,,Unknown,Unknown,,,Unknown,Heavy Mist,Poor Visibility,Nov-Feb,70,Low,Low,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 10),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,62,High,High,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 11),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Saturated Slope,Oct-Dec (Monsoon),9,Medium,Medium,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 12),No Road Data Available,,Unknown,Unknown,,,Unknown,Rock Fall,Exposed Bedrock,Oct-Dec (Monsoon),15,High,High,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 13),No Road Data Available,,Unknown,Unknown,,,Unknown,Accident Blackspot,Sharp Bend,Year-round,41,Medium,Medium,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 14),No Road Data Available,,Unknown,Unknown,,,Unknown,Rock Fall,Dip Slope Failure,Oct-Dec (Monsoon),22,High,High,0,no-road-data,0
A26,A26 Kandy-Mahiyangana (Bend 15),No Road Data Available,,Unknown,Unknown,,,Unknown,Earthslip,Poor Drainage,Oct-Dec (Monsoon),7,Medium,Medium,0,no-road-data,0
